genes	cluster
JMJD6	5
JPH2	13
JRK	6
JSRP1	22
JUN	5
JUND	5
KANK1	14
KAT6A	5
KBTBD11	25
KCNA3	2
KCNG1	6
KCNH3	6
KCNJ10	2
KCNJ11	13
KCNMB4	6
KCNN3	14
KCNS1	15
KCP	5
KCTD1	3
KDELR3	12
KDM5C	2
KDM5D	25
KDR	14
KIAA0408	14
KIAA0895	6
KIAA0895L	10
KIAA1143	6
KIAA1217	14
KIAA1522	9
KIF19	5
KIF21A	2
KIF26A	5
KIN	24
KIR2DL1	2
KIR2DL3	5
KIR2DL4	5
KIR3DL1	2
KIR3DL2	2
KLC3	5
KLC4	15
KLF11	5
KLF14	23
KLF15	9
KLF2	16
KLF4	5
KLHDC8A	5
KLHL13	6
KLHL14	6
KLHL25	2
KLHL30	12
KLHL41	12
KLHL7	23
KLRC2	5
KLRC3	5
KLRC4	17
KLRD1	5
KLRF1	2
KLRG1	2
KLRK1	17
KNDC1	10
KRBA2	6
KRT1	5
KRT13	2
KRT15	3
KRT17	9
KRT18	9
KRT19	3
KRT23	6
KRT4	5
KRT7	9
KRT79	14
KRT8	9
KRTCAP3	6
KYNU	5
L3MBTL4	5
LAG3	5
LAIR2	2
LAMA2	1
LAMA3	9
LAMA4	1
LAMA5	11
LAMB1	1
LAMB3	16
LAMP1	5
LARGE2	6
LARP6	13
LCLAT1	6
LCMT2	6
LCN8	6
LCNL1	2
LDB3	19
LDHD	5
LDLRAD4	6
LEF1	6
LEP	2
LEPROTL1	6
LETM2	15
LEXM	2
LGALS3	5
LGALS4	5
LGMN	2
LGR6	2
LHFPL2	16
LHX4	6
LIAS	6
LIF	5
LIFR	1
LIG3	2
LILRB1	5
LILRB4	5
LILRB5	5
LIM2	2
LIMCH1	11
LIMS2	6
LINGO2	5
LLGL2	2
LLPH	4
LMAN1	17
LMCD1	12
LMO7	6
LMOD2	11
LMOD3	6
LOX	11
LPIN1	17
LPIN3	9
LRFN2	2
LRP1	5
LRP11	1
LRP2BP	11
LRP5	1
LRRC20	4
LRRC23	4
LRRC32	1
LRRC37A3	6
LRRC43	3
LRRC56	14
LRRN3	6
LRTOMT	6
LTBP2	13
LTBP4	2
LTF	7
LTK	6
LUC7L	10
LUM	9
LYAR	5
LYPD2	10
LYPLAL1	4
LYSMD1	6
LYVE1	10
LZIC	4
LZTFL1	6
MACC1	6
MAF	2
MAFB	5
MAFF	5
MAGEH1	6
MAGI1	1
MAMDC4	2
MAMLD1	9
MAN2C1	2
MANF	10
MAP1B	3
MAP3K6	9
MAP4	5
MAP4K1	2
MAP6	5
MAP6D1	6
MAPK11	9
MAPK7	5
MAPK8IP1	3
MARCO	10
MATK	2
MATN1	15
MB	13
MB21D2	8
MBD4	6
MBNL2	2
MBNL3	5
MC1R	25
MCF2L	6
MCM2	25
MCOLN1	5
MCOLN2	2
MCOLN3	25
MDK	12
MECOM	11
MECP2	2
MED15	5
MED31	4
MED9	4
MEDAG	12
MEIS2	1
MEIS3	9
MEST	6
MET	1
METRNL	5
METTL18	6
METTL25	6
METTL4	6
MEX3A	6
MFAP4	9
MFAP5	1
MGAT5	6
MGLL	5
MGME1	23
MGP	13
MICAL2	5
MID1	9
MIER2	5
MINDY4	9
MITD1	4
MITF	5
MKKS	4
MLC1	2
MLF1	9
MLIP	3
MLPH	9
MMAB	7
MMP11	6
MMP14	5
MMP19	10
MMP2	9
MMP23B	2
MMP28	6
MMP8	7
MMRN2	11
MOCS3	6
MORN1	6
MORN2	9
MPIG6B	5
MPO	7
MPP1	5
MPZL2	1
MRAS	9
MRC1	10
MREG	6
MRGPRF	3
MRPL30	24
MRPL35	22
MRPL36	4
MRPL51	4
MRPL55	5
MRPS18C	4
MSH5	2
MSLN	2
MSS51	6
MST1R	6
MT.ATP6	13
MT.ND3	13
MT1E	5
MT1F	7
MT1G	5
MT1X	5
MT2A	5
MTA3	6
MTERF4	6
MTFP1	2
MTSS1	2
MTUS1	9
MUC16	3
MUC21	5
MUC5AC	3
MUC6	1
MXI1	5
MYBL1	2
MYBPC1	13
MYBPC2	12
MYCBP	4
MYDGF	10
MYEF2	6
MYH1	12
MYH14	9
MYH2	19
MYH7	12
MYH7B	6
MYL1	19
MYL2	13
MYL3	19
MYL7	13
MYLPF	19
MYO19	5
MYO1G	5
MYO5C	11
MYO6	2
MYOF	10
MYOM1	22
MYOM3	12
MYOT	12
MYOZ1	13
MYOZ3	4
MYRF	2
MZB1	6
NAE1	6
NAIP	10
NAP1L2	1
NAPB	5
NAPSA	14
NAT14	6
NAV2	25
NAV3	14
NBEA	6
NBL1	11
NBPF20	24
NBPF9	14
NCALD	2
NCAM1	2
NCCRP1	1
NCKAP1	8
NCKIPSD	5
NCOR2	2
NCR3	2
NDFIP2	8
NDRG1	5
NDRG2	13
NDRG4	12
NDUFA1	4
NDUFA4L2	13
NDUFAB1	4
NDUFAF3	5
NDUFAF6	6
NDUFB1	4
NDUFB5	4
NDUFB6	4
NDUFC1	4
NDUFC2	4
NDUFV3	10
NEB	12
NEDD8	13
NEFL	3
NEK11	6
NEK5	6
NELL2	6
NEU4	2
NEXN	8
NFATC2	2
NFATC4	12
NFIB	11
NFIL3	5
NGFR	10
NGLY1	10
NGRN	9
NID1	9
NIF3L1	4
NKAP	4
NKAPL	6
NKD1	6
NKG7	5
NKPD1	6
NKX3.1	4
NLRP3	5
NMNAT1	4
NMRK1	6
NMRK2	19
NMUR1	2
NNAT	7
NNMT	5
NOA1	6
NOG	6
NOS3	11
NOSTRIN	9
NPAS2	6
NPC1	2
NPC2	5
NPDC1	11
NPHP1	13
NPIPB13	3
NPNT	1
NPR1	12
NPRL3	5
NR1H3	5
NR1I3	5
NR2F1	13
NR2F2	1
NR4A1	2
NR4A2	2
NR4A3	2
NRAP	12
NRARP	15
NRCAM	6
NREP	25
NRIP3	13
NRP2	5
NRROS	5
NSL1	4
NT5DC1	6
NT5E	6
NTN1	12
NTN4	11
NUAK1	2
NUCB1	10
NUDC	5
NUDT7	12
NUGGC	5
NUP210L	12
NUPR1	10
NXN	13
NXPE3	6
NXPH4	6
NYNRIN	5
OAZ3	8
OBSCN	6
OCM	6
OGFOD2	6
OGN	3
OLFML2B	5
OLFML3	12
OLR1	17
ONECUT3	2
OPTN	5
OR2B6	23
OR51E1	5
OR51E2	5
ORC4	4
ORM2	7
OSBPL10	14
OSBPL3	17
OSBPL5	2
OSGIN1	10
OSM	5
OSMR	9
OTOA	5
OTUD7A	6
OXNAD1	6
P2RX6	6
P2RX7	5
P3H2	9
PA2G4	5
PAK6	2
PALM	13
PALMD	11
PANX1	5
PAPLN	6
PAQR8	6
PAQR9	16
PARD3B	14
PARM1	14
PARP3	5
PARVA	1
PATL1	16
PAWR	14
PCBD1	10
PCBP1	5
PCBP3	19
PCDH1	2
PCDHGB6	5
PCDHGC3	3
PCGF2	9
PCGF5	5
PCK1	5
PCK2	5
PCOLCE	10
PCP4L1	15
PCSK1N	16
PCYOX1	6
PCYT1B	5
PDCD1	2
PDCD1LG2	5
PDCD2	6
PDCD6	4
PDE4A	5
PDE4DIP	11
PDE6D	4
PDE9A	6
PDGFD	2
PDGFRA	1
PDGFRB	2
PDIA3	5
PDIA4	5
PDIA6	5
PDLIM3	13
PDLIM4	13
PDZD4	2
PDZK1	7
PEA15	9
PEAR1	5
PER1	2
PERM1	19
PERP	1
PEX11B	4
PEX12	6
PEX14	2
PF4	5
PF4V1	5
PFN2	12
PGA5	5
PGF	13
PHACTR1	5
PHF8	5
PHKA1	6
PHLDA1	2
PHLDA2	10
PHLDA3	9
PHLDB1	1
PHLDB2	14
PHOSPHO1	5
PI16	1
PI3	13
PI4K2A	2
PIANP	6
PID1	9
PIEZO1	2
PIGA	5
PIGB	6
PIGP	6
PIGR	1
PIP4K2A	5
PIP4K2B	6
PIPOX	10
PIR	9
PITPNM3	15
PITX1	8
PIWIL4	23
PKIA	6
PKLR	16
PLA2G7	10
PLA2R1	3
PLAC9	19
PLAT	13
PLAU	5
PLAUR	5
PLBD2	5
PLCD4	6
PLCH2	2
PLCL1	6
PLEK	5
PLEK2	10
PLEKHA5	1
PLEKHA6	13
PLEKHG4	6
PLEKHH1	11
PLGRKT	4
PLIN1	11
PLIN2	5
PLLP	15
PLOD2	8
PLOD3	5
PLP1	3
PLPP3	5
PLPP6	6
PLPP7	15
PLPPR3	16
PLS3	1
PLSCR4	9
PLTP	10
PLXNA3	17
PLXNB2	5
PLXNB3	5
PLXND1	5
PMAIP1	2
PMEPA1	6
PMFBP1	7
PMP22	1
PNPLA4	4
PODN	2
PODXL	11
PODXL2	6
POMC	7
POMGNT2	5
PON2	5
POP7	16
POR	10
POSTN	3
PPDPF	5
PPM1J	12
PPM1L	2
PPM1N	4
PPP1CC	4
PPP1R14C	9
PPP1R15A	5
PPP1R17	9
PPP1R27	13
PPP1R3G	5
PPP2R2B	2
PPP2R3A	6
PPP3CC	2
PPWD1	6
PRAME	6
PRAP1	5
PRCD	6
PRDM1	2
PRDX1	9
PRELP	9
PRF1	2
PRG2	16
PRG4	3
PRICKLE2	1
PRKCG	15
PRKCH	2
PRKCQ	2
PRKY	14
PRLR	3
PROCR	3
PRR29	2
PRR4	14
PRR5L	2
PRRT4	7
PRRX1	11
PRSS1	1
PRSS16	11
PRSS2	5
PRSS21	5
PRSS23	2
PRSS3	9
PRSS57	7
PRTN3	7
PSD	6
PSKH1	6
PTAFR	4
PTBP1	2
PTCD2	6
PTCH1	2
PTGDR	2
PTGDS	2
PTGER4	2
PTGES	10
PTGES3L	24
PTGFRN	9
PTGIS	1
PTK2	1
PTK6	10
PTK7	6
PTPN2	10
PTPN21	9
PTPN3	24
PTPN4	2
PTPRB	1
PTPRG	11
PTPRH	9
PTPRK	14
PTPRM	17
PTPRU	5
PTRH1	10
PTS	9
PTX3	16
PXDC1	9
PXDN	11
PYGM	6
PYGO2	6
PYHIN1	2
PZP	2
QRICH2	6
RAB17	10
RAB38	14
RAB3A	5
RAB3IL1	5
RAB7B	2
RAB9A	5
RABEPK	4
RABGAP1L	5
RAI14	1
RALA	6
RALGDS	5
RAMP2	13
RAMP3	13
RAP1GAP	5
RAPGEF3	15
RAPGEF4	12
RAPH1	5
RAPSN	15
RARRES1	9
RARRES2	5
RASD1	5
RASGEF1B	10
RASGRP1	25
RASGRP3	14
RASIP1	12
RAVER2	25
RBFOX2	9
RBFOX3	2
RBM15	2
RBM20	6
RBM24	11
RBM38	5
RBM4B	6
RBMS3	9
RBP1	9
RBP4	5
RCAN1	4
RCAN3	6
REG4	6
REPIN1	6
REXO2	13
RFLNB	6
RFTN1	2
RFTN2	6
RGS1	2
RGS10	5
RGS12	9
RGS9	2
RHAG	16
RHBDF1	9
RHCG	2
RHOB	5
RHOBTB3	9
RHOC	5
RHOJ	12
RHPN1	6
RHPN2	24
RIC3	6
RIMS3	6
RIOK3	5
RIPK4	19
RLF	2
RNASE3	7
RND1	3
RND3	9
RNF165	2
RNF170	6
RNF187	5
RNF207	1
RNF32	25
RNH1	5
ROBO1	6
ROBO4	11
RORA	17
RORC	6
RPAP3	6
RPIA	16
RPL3L	13
RPN2	5
RPP14	6
RPS27L	9
RPS4Y1	6
RRAD	13
RRAS	5
RRAS2	14
RRBP1	5
RREB1	5
RSAD2	25
RTN2	4
RTP5	5
RUNX3	2
RWDD2A	6
RYBP	16
RYR1	9
S100A1	15
S100A10	5
S100A14	5
S100B	12
S1PR5	2
SAA1	5
SAA2	5
SAFB	5
SALL2	6
