Mixture	B cells	Monocytes	T cells CD4	T cells CD8	NK cells	Dendritic cells	NK T cells	Megakaryocytes
GTEX-178AV	0.071808321	0.523150499	0.234835635	0.04710604	0.014883905	0	0.017158006	0.091057595
GTEX-17EUY	0.08530357	0.786349863	0.074178082	0.022096434	0.002863186	0	0.01495308	0.014255785
GTEX-17EVP	0.315871854	0.164518634	0.055290988	0.249783295	0.068865734	0.034554636	0.031344551	0.079770309
GTEX-17EVQ	0.16248318	0.353378964	0.030778109	0.291920816	0.100540575	0.004303127	0.029310175	0.027285054
GTEX-17GQL	0.019988975	0.738124315	0.072209968	0.105657899	0.004734526	0	0	0.059284317
GTEX-17HG3	0.25431919	0.291867204	0.110739275	0.189591861	0.051306234	0.008197018	0.044806102	0.049173116
GTEX-17HGU	0.144081353	0.531515476	0.046243046	0.172902289	0.05807486	0	0	0.047182976
GTEX-17HHE	0.160611096	0.402148477	0.198135393	0.131175594	0.071616592	0	0.003212676	0.033100173
GTEX-17HHY	0.238317649	0.013510693	0	0.415928631	0.110745975	0.07361865	0.099987317	0.047891084
GTEX-17HII	0.124621443	0.609372992	0.042680647	0.107189996	0.02480194	0	0.023178511	0.068154471
GTEX-17JCI	0.180499878	0.236715791	0.110538497	0.29112675	0.051862856	0.021643447	0.063252644	0.044360138
GTEX-17KNJ	0	0.779032861	0.105827426	0.062695475	0.00823656	0	0.014059695	0.030147984
GTEX-17MFQ	0.039921062	0.795788283	0.099661365	0.050498108	0.006332086	0	0.004112748	0.003686347
GTEX-183FY	0.033369481	0.847825534	0.057211889	0.049841616	0.004955679	0	0.004420849	0.002374953
GTEX-183WM	0.172597414	0.725067117	0	0.063581962	0.00324106	0	0.030266289	0.005246157
GTEX-18465	0.161898038	0.282621539	0.200441732	0.221524446	0.08108601	0.006222199	0.035719518	0.010486518
GTEX-18A66	0.097703637	0.648172634	0	0.184783675	0.029960627	0	0.017181121	0.022198306
GTEX-18A67	0.064482367	0.770238332	0.011698926	0.113643314	0.008711815	0	0.014773191	0.016452054
GTEX-18A6Q	0.297758476	0.207602846	0.046771087	0.226243458	0.114342558	0.014247671	0.038787494	0.054246411
GTEX-18A7A	0.196828045	0.134053962	0.111674454	0.292198296	0.089657679	0.023453828	0.072288145	0.079845592
GTEX-18A7B	0.065172935	0.4072231	0.062991114	0.15101476	0.042118847	0	0.058729257	0.212749988
GTEX-18D9A	0.095829587	0.583832936	0.052854816	0.118683947	0.052044405	0	0.022079255	0.074675056
GTEX-18D9B	0	0.695752408	0.177352617	0.049213005	0.009193419	0	0	0.068488552
GTEX-18D9U	0.02363778	0.484061442	0	0.346282111	0.078027693	0	0.055880523	0.012110452
GTEX-18QFQ	0.050333144	0.775199418	0.125948399	0.032469287	0.003294738	0	0.005629711	0.007125303
GTEX-1A32A	0.141657129	0.488499325	0	0.203493278	0.04243232	0	0.027760111	0.096157837
GTEX-1A3MV	0.028851364	0.660674278	0.177560252	0.112831323	0.005687569	0	9.03E-05	0.014304872
GTEX-1A3MW	0.109560406	0.766981785	0	0.026787464	0.028068429	0	0.030054489	0.038547426
GTEX-1A3MX	0.102964073	0.749234884	0	0.02278686	0.01639821	0	0.024992655	0.083623317
GTEX-1A8FM	0.082009261	0.210379085	0	0.511823827	0.060689567	0.010112966	0.04537782	0.079607474
GTEX-1A8G6	0.156641241	0.336618706	0	0.309965429	0.071046386	0	0.077146968	0.048581269
GTEX-1A8G7	0.160289306	0.248170239	0	0.420625883	0.109767284	0.000336161	0.042994589	0.017816538
GTEX-1AMEY	0.044890637	0.888204438	0.007495928	0.033338344	0.003840445	0	0.000231428	0.021998779
GTEX-1AMFI	0.088839611	0.699982689	0.159197754	0.037608957	0.005313551	0	0	0.009057438
GTEX-1AX8Z	0.025220098	0.839056323	0.062835505	0.051698927	0.018009342	0	0	0.003179806
GTEX-1AX9I	0.160538094	0.386363707	0	0.259595961	0.089131118	0.001999069	0.078718434	0.023653616
GTEX-1AX9J	0.094129609	0.833725104	0	0.006115136	0.002413185	0	0.029777078	0.033839888
GTEX-1AX9K	0	0.762712116	0.106769699	0.05345799	0.001686234	0	0.008320499	0.067053462
GTEX-1AYCT	0.071353039	0.756642318	0.010226058	0.063092832	0.001235758	0	0.027508306	0.069941688
GTEX-1AYD5	0.153354489	0.208138559	0.046461258	0.421979257	0.098012651	0.006593968	0.061082008	0.00437781
